,Disgust'
'abstract_0001.jpg',1
'abstract_0002.jpg',0
'abstract_0003.jpg',1
'abstract_0004.jpg',0
'abstract_0005.jpg',4
'abstract_0006.jpg',1
'abstract_0007.jpg',5
'abstract_0008.jpg',0
'abstract_0009.jpg',1
'abstract_0010.jpg',0
'abstract_0011.jpg',3
'abstract_0012.jpg',0
'abstract_0013.jpg',0
'abstract_0014.jpg',1
'abstract_0015.jpg',0
'abstract_0016.jpg',0
'abstract_0018.jpg',0
'abstract_0019.jpg',7
'abstract_0020.jpg',0
'abstract_0021.jpg',0
'abstract_0022.jpg',4
'abstract_0023.jpg',1
'abstract_0025.jpg',1
'abstract_0026.jpg',1
'abstract_0027.jpg',1
'abstract_0028.jpg',0
'abstract_0029.jpg',0
'abstract_0030.jpg',3
'abstract_0031.jpg',0
'abstract_0032.jpg',1
'abstract_0033.jpg',0
'abstract_0034.jpg',1
'abstract_0035.jpg',2
'abstract_0036.jpg',4
'abstract_0037.jpg',1
'abstract_0038.jpg',1
'abstract_0039.jpg',1
'abstract_0040.jpg',1
'abstract_0041.jpg',2
'abstract_0042.jpg',1
'abstract_0043.jpg',1
'abstract_0044.jpg',0
'abstract_0045.jpg',1
'abstract_0046.jpg',5
'abstract_0047.jpg',1
'abstract_0048.jpg',4
'abstract_0049.jpg',2
'abstract_0050.jpg',2
'abstract_0051.jpg',2
'abstract_0052.jpg',2
'abstract_0053.jpg',0
'abstract_0054.jpg',2
'abstract_0055.jpg',3
'abstract_0056.jpg',1
'abstract_0057.jpg',0
'abstract_0058.jpg',1
'abstract_0059.jpg',2
'abstract_0060.jpg',3
'abstract_0061.jpg',2
'abstract_0062.jpg',0
'abstract_0063.jpg',1
'abstract_0064.jpg',2
'abstract_0065.jpg',5
'abstract_0066.jpg',2
'abstract_0067.jpg',3
'abstract_0068.jpg',6
'abstract_0069.jpg',2
'abstract_0070.jpg',0
'abstract_0072.jpg',1
'abstract_0073.jpg',4
'abstract_0074.jpg',2
'abstract_0075.jpg',0
'abstract_0076.jpg',0
'abstract_0077.jpg',1
'abstract_0078.jpg',0
'abstract_0079.jpg',2
'abstract_0080.jpg',3
'abstract_0081.jpg',1
'abstract_0082.jpg',0
'abstract_0083.jpg',0
'abstract_0084.jpg',0
'abstract_0085.jpg',6
'abstract_0086.jpg',1
'abstract_0087.jpg',1
'abstract_0088.jpg',1
'abstract_0089.jpg',3
'abstract_0090.jpg',2
'abstract_0091.jpg',0
'abstract_0092.jpg',1
'abstract_0093.jpg',3
'abstract_0094.jpg',7
'abstract_0095.jpg',0
'abstract_0096.jpg',1
'abstract_0097.jpg',2
'abstract_0098.jpg',1
'abstract_0099.jpg',1
'abstract_0100.jpg',0
'abstract_0101.jpg',2
'abstract_0102.jpg',2
'abstract_0103.jpg',3
'abstract_0104.jpg',2
'abstract_0105.jpg',1
'abstract_0106.jpg',1
'abstract_0107.jpg',1
'abstract_0108.jpg',1
'abstract_0109.jpg',3
'abstract_0110.jpg',0
'abstract_0111.jpg',3
'abstract_0112.jpg',1
'abstract_0113.jpg',5
'abstract_0114.jpg',0
'abstract_0115.jpg',0
'abstract_0116.jpg',0
'abstract_0117.jpg',3
'abstract_0118.jpg',0
'abstract_0119.jpg',0
'abstract_0120.jpg',0
'abstract_0121.jpg',1
'abstract_0122.jpg',0
'abstract_0123.jpg',2
'abstract_0124.jpg',0
'abstract_0125.jpg',1
'abstract_0126.jpg',1
'abstract_0127.jpg',2
'abstract_0128.jpg',1
'abstract_0129.jpg',2
'abstract_0130.jpg',0
'abstract_0131.jpg',0
'abstract_0132.jpg',3
'abstract_0133.jpg',0
'abstract_0134.jpg',0
'abstract_0135.jpg',2
'abstract_0136.jpg',0
'abstract_0137.jpg',0
'abstract_0138.jpg',3
'abstract_0139.jpg',4
'abstract_0140.jpg',3
'abstract_0141.jpg',0
'abstract_0142.jpg',2
'abstract_0143.jpg',2
'abstract_0144.jpg',0
'abstract_0145.jpg',0
'abstract_0146.jpg',0
'abstract_0147.jpg',4
'abstract_0148.jpg',0
'abstract_0149.jpg',4
'abstract_0150.jpg',0
'abstract_0151.jpg',2
'abstract_0152.jpg',5
'abstract_0153.jpg',3
'abstract_0154.jpg',2
'abstract_0155.jpg',3
'abstract_0156.jpg',1
'abstract_0157.jpg',2
'abstract_0158.jpg',1
'abstract_0159.jpg',1
'abstract_0160.jpg',1
'abstract_0161.jpg',4
'abstract_0162.jpg',1
'abstract_0163.jpg',3
'abstract_0164.jpg',3
'abstract_0165.jpg',1
'abstract_0166.jpg',0
'abstract_0167.jpg',1
'abstract_0168.jpg',0
'abstract_0169.jpg',1
'abstract_0170.jpg',0
'abstract_0171.jpg',2
'abstract_0172.jpg',1
'abstract_0173.jpg',1
'abstract_0174.jpg',5
'abstract_0175.jpg',2
'abstract_0176.jpg',1
'abstract_0177.jpg',1
'abstract_0178.jpg',2
'abstract_0179.jpg',4
'abstract_0180.jpg',0
'abstract_0181.jpg',0
'abstract_0182.jpg',1
'abstract_0183.jpg',0
'abstract_0184.jpg',1
'abstract_0185.jpg',0
'abstract_0186.jpg',0
'abstract_0187.jpg',1
'abstract_0188.jpg',0
'abstract_0189.jpg',0
'abstract_0190.jpg',1
'abstract_0191.jpg',0
'abstract_0192.jpg',0
'abstract_0193.jpg',2
'abstract_0194.jpg',2
'abstract_0195.jpg',2
'abstract_0196.jpg',1
'abstract_0197.jpg',1
'abstract_0198.jpg',1
'abstract_0199.jpg',2
'abstract_0200.jpg',2
'abstract_0201.jpg',4
'abstract_0202.jpg',0
'abstract_0203.jpg',0
'abstract_0204.jpg',7
'abstract_0205.jpg',5
'abstract_0206.jpg',0
'abstract_0207.jpg',0
'abstract_0208.jpg',0
'abstract_0209.jpg',1
'abstract_0210.jpg',1
'abstract_0211.jpg',4
'abstract_0212.jpg',1
'abstract_0213.jpg',2
'abstract_0214.jpg',3
'abstract_0215.jpg',0
'abstract_0216.jpg',3
'abstract_0217.jpg',3
'abstract_0218.jpg',1
'abstract_0219.jpg',2
'abstract_0220.jpg',2
'abstract_0221.jpg',1
'abstract_0222.jpg',2
'abstract_0223.jpg',2
'abstract_0224.jpg',3
'abstract_0225.jpg',1
'abstract_0226.jpg',1
'abstract_0227.jpg',1
'abstract_0228.jpg',1
'abstract_0229.jpg',2
'abstract_0230.jpg',5
'abstract_0231.jpg',1
'abstract_0232.jpg',1
'abstract_0233.jpg',2
'abstract_0234.jpg',1
'abstract_0235.jpg',2
'abstract_0236.jpg',0
'abstract_0237.jpg',0
'abstract_0238.jpg',1
'abstract_0239.jpg',0
'abstract_0240.jpg',2
'abstract_0241.jpg',2
'abstract_0242.jpg',3
'abstract_0243.jpg',1
'abstract_0244.jpg',3
'abstract_0245.jpg',0
'abstract_0246.jpg',0
'abstract_0247.jpg',0
'abstract_0248.jpg',3
'abstract_0249.jpg',5
'abstract_0250.jpg',1
'abstract_0251.jpg',3
'abstract_0252.jpg',0
'abstract_0253.jpg',3
'abstract_0254.jpg',0
'abstract_0255.jpg',0
'abstract_0256.jpg',0
'abstract_0257.jpg',0
'abstract_0258.jpg',4
'abstract_0259.jpg',0
'abstract_0260.jpg',3
'abstract_0261.jpg',3
'abstract_0262.jpg',1
'abstract_0263.jpg',0
'abstract_0264.jpg',0
'abstract_0265.jpg',0
'abstract_0266.jpg',2
'abstract_0267.jpg',3
'abstract_0268.jpg',0
'abstract_0269.jpg',13
'abstract_0270.jpg',3
'abstract_0271.jpg',1
'abstract_0272.jpg',0
'abstract_0273.jpg',2
'abstract_0274.jpg',0
'abstract_0275.jpg',1
'abstract_0276.jpg',2
'abstract_0277.jpg',1
'abstract_0278.jpg',1
'abstract_0279.jpg',1
'abstract_0280.jpg',2
'abstract_0281.jpg',0
'abstract_0282.jpg',2
'abstract_0283.jpg',2
